"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 04","82.45","82.20","82.90","82.00","11.73M","0.32%"
"2024- 11- 01","82.19","82.53","82.53","81.54","12.18M","0.29%"
"2024- 10- 31","81.95","81.29","82.44","81.22","15.54M","0.69%"
"2024- 10- 30","81.39","81.60","81.83","81.30","9.27M","-0.38%"
"2024- 10- 29","81.70","82.67","82.86","81.67","9.68M","-1.27%"
"2024- 10- 28","82.75","82.75","83.08","82.47","7.99M","0.29%"
"2024- 10- 25","82.51","83.20","83.30","82.43","8.96M","-0.64%"
"2024- 10- 24","83.04","82.96","83.32","82.58","11.65M","-0.28%"
"2024- 10- 23","83.27","81.89","83.34","81.80","13.06M","1.52%"
"2024- 10- 22","82.02","81.11","82.22","80.82","12.24M","1.50%"
"2024- 10- 21","80.81","81.23","81.55","80.72","9.75M","-0.61%"
"2024- 10- 18","81.31","80.87","81.69","80.66","12.32M","0.52%"
"2024- 10- 17","80.89","81.27","81.50","80.64","9.42M","-0.41%"
"2024- 10- 16","81.22","81.53","81.66","80.62","11.12M","-0.53%"
"2024- 10- 15","81.65","80.67","81.82","80.51","13.28M","1.69%"
"2024- 10- 14","80.29","80.05","80.51","79.76","9.91M","0.24%"
"2024- 10- 11","80.10","79.70","80.13","79.37","9.57M","0.62%"
"2024- 10- 10","79.61","80.31","80.32","79.46","10.81M","-0.98%"
"2024- 10- 09","80.40","79.82","80.50","79.75","12.41M","0.87%"
"2024- 10- 08","79.71","79.62","79.82","79.07","15.27M","0.77%"
"2024- 10- 07","79.10","80.69","80.94","78.98","16.79M","-2.27%"
"2024- 10- 04","80.94","80.05","81.11","79.85","11.59M","0.63%"
"2024- 10- 03","80.43","80.30","80.57","79.85","11.64M","0.00%"
"2024- 10- 02","80.43","80.99","80.99","80.12","16.62M","-1.03%"
"2024- 10- 01","81.27","80.68","81.53","80.43","16.05M","0.64%"
