"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 28","481.70","484.35","486.90","481.10","3.63M","-0.49%"
"2025- 07- 25","484.07","481.67","484.93","479.66","4.22M","0.72%"
"2025- 07- 24","480.60","482.67","486.17","480.60","5.04M","-0.42%"
"2025- 07- 23","482.63","480.25","484.45","479.20","4.39M","0.94%"
"2025- 07- 22","478.13","475.50","483.14","475.00","4.52M","0.78%"
"2025- 07- 21","474.41","473.04","478.35","472.00","3.79M","0.13%"
"2025- 07- 18","473.80","474.00","478.64","473.50","4.02M","0.08%"
"2025- 07- 17","473.40","470.07","474.15","467.65","4.04M","0.44%"
"2025- 07- 16","471.31","471.20","472.92","468.88","3.80M","0.25%"
"2025- 07- 15","470.13","475.30","475.72","470.00","4.48M","-1.30%"
"2025- 07- 14","476.31","474.32","478.13","473.46","4.29M","0.09%"
"2025- 07- 11","475.86","476.25","476.85","471.40","4.42M","-0.50%"
"2025- 07- 10","478.27","477.87","478.55","475.50","4.58M","-0.13%"
"2025- 07- 09","478.91","477.00","479.49","475.83","3.37M","0.30%"
"2025- 07- 08","477.47","477.35","480.00","473.58","4.12M","-0.12%"
"2025- 07- 07","478.03","484.42","486.08","476.80","4.67M","-1.44%"
"2025- 07- 03","485.00","480.89","486.55","480.36","3.44M","0.94%"
"2025- 07- 02","480.48","489.43","489.93","478.62","6.71M","-1.86%"
"2025- 07- 01","489.61","485.78","491.09","483.80","4.78M","0.79%"
"2025- 06- 30","485.77","485.90","487.65","483.44","6.38M","0.02%"
"2025- 06- 27","485.68","485.77","489.68","484.40","6.13M","0.13%"
"2025- 06- 26","485.05","486.54","487.98","484.25","4.21M","-0.24%"
"2025- 06- 25","486.21","494.50","496.00","486.14","4.26M","-1.47%"
"2025- 06- 24","493.48","489.43","497.74","488.89","5.11M","1.17%"
"2025- 06- 23","487.77","485.42","488.50","481.72","4.14M","0.60%"
"2025- 06- 20","484.85","484.95","486.68","483.43","7.62M","-0.06%"
"2025- 06- 18","485.14","484.10","486.70","482.75","4.89M","0.34%"
"2025- 06- 17","483.48","489.11","489.40","483.25","3.96M","-1.38%"
"2025- 06- 16","490.23","489.73","491.85","488.54","3.94M","0.55%"
"2025- 06- 13","487.54","486.27","491.08","485.85","4.00M","-0.57%"
"2025- 06- 12","490.34","486.23","490.44","483.78","3.54M","0.45%"
"2025- 06- 11","488.14","491.05","492.25","486.67","4.60M","-0.61%"
"2025- 06- 10","491.13","492.65","492.90","489.50","3.95M","-0.45%"
"2025- 06- 09","493.33","493.70","494.53","488.88","3.99M","-0.04%"
"2025- 06- 06","493.53","491.63","496.10","491.63","3.95M","0.98%"
