"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","717.34","721.49","721.85","710.20","20.42M","-2.32%"
"2025- 09- 30","734.38","742.25","742.97","726.30","16.23M","-1.21%"
"2025- 09- 29","743.40","748.72","750.78","739.15","9.25M","-0.05%"
"2025- 09- 26","743.75","750.00","751.93","737.35","9.70M","-0.69%"
"2025- 09- 25","748.91","753.45","756.77","744.55","10.59M","-1.54%"
"2025- 09- 24","760.66","757.50","761.11","752.53","8.83M","0.70%"
"2025- 09- 23","755.40","769.25","770.60","751.07","10.87M","-1.28%"
"2025- 09- 22","765.16","781.84","785.73","764.47","11.71M","-1.70%"
"2025- 09- 19","778.38","786.42","790.80","769.19","23.70M","-0.24%"
"2025- 09- 18","780.25","780.75","788.78","773.36","10.95M","0.58%"
"2025- 09- 17","775.72","779.99","783.29","766.31","9.40M","-0.42%"
"2025- 09- 16","779.00","767.00","781.36","765.10","11.78M","1.87%"
"2025- 09- 15","764.70","757.47","774.07","751.98","10.53M","1.21%"
"2025- 09- 12","755.59","748.72","757.57","743.76","8.25M","0.62%"
"2025- 09- 11","750.90","754.65","757.10","748.37","7.92M","-0.14%"
"2025- 09- 10","751.98","765.13","765.70","751.00","12.48M","-1.79%"
"2025- 09- 09","765.70","757.49","766.30","753.43","11.00M","1.78%"
"2025- 09- 08","752.30","755.99","766.51","752.02","13.09M","-0.02%"
"2025- 09- 05","752.45","752.61","757.95","745.03","9.66M","0.51%"
"2025- 09- 04","748.65","748.57","761.16","745.82","11.44M","1.57%"
"2025- 09- 03","737.05","736.00","740.25","733.99","7.70M","0.26%"
"2025- 09- 02","735.11","726.04","736.00","721.73","9.35M","-0.49%"
"2025- 08- 29","738.70","745.28","747.14","735.35","9.07M","-1.65%"
"2025- 08- 28","751.11","744.00","753.05","740.79","7.47M","0.50%"
"2025- 08- 27","747.38","752.30","754.15","742.84","8.32M","-0.89%"
"2025- 08- 26","754.10","750.80","754.87","747.94","7.60M","0.11%"
"2025- 08- 25","753.30","754.82","758.88","750.13","6.86M","-0.20%"
"2025- 08- 22","754.79","739.23","756.90","734.39","10.61M","2.12%"
"2025- 08- 21","739.10","744.71","745.50","733.11","8.88M","-1.15%"
"2025- 08- 20","747.72","747.57","750.20","731.00","11.90M","-0.50%"
"2025- 08- 19","751.48","767.12","767.17","749.36","12.29M","-2.07%"
"2025- 08- 18","767.37","775.09","775.81","756.56","16.51M","-2.27%"
"2025- 08- 15","785.23","784.15","796.25","780.82","13.38M","0.40%"
"2025- 08- 14","782.13","777.88","787.81","772.51","8.12M","0.26%"
"2025- 08- 13","780.08","791.15","795.46","778.23","8.81M","-1.26%"
"2025- 08- 12","790.00","773.00","793.67","772.43","14.58M","3.15%"
"2025- 08- 11","765.87","770.08","773.46","764.67","7.61M","-0.45%"
"2025- 08- 08","769.30","762.75","769.90","758.58","7.32M","0.98%"
"2025- 08- 07","761.83","773.49","775.00","759.55","9.02M","-1.32%"
"2025- 08- 06","771.99","770.00","773.64","760.46","9.73M","1.12%"
"2025- 08- 05","763.46","776.45","783.13","763.00","11.64M","-1.66%"
"2025- 08- 04","776.37","760.00","776.85","758.41","15.80M","3.51%"
"2025- 08- 01","750.01","760.73","766.00","745.31","19.03M","-3.03%"
"2025- 07- 31","773.44","775.20","784.75","765.51","38.83M","11.25%"
"2025- 07- 30","695.21","708.09","708.50","691.20","27.08M","-0.68%"
"2025- 07- 29","700.00","720.00","724.47","699.91","13.27M","-2.46%"
"2025- 07- 28","717.63","715.20","724.74","712.68","8.72M","0.69%"
"2025- 07- 25","712.68","716.91","720.65","711.90","8.27M","-0.30%"
"2025- 07- 24","714.80","717.05","723.62","714.00","10.92M","0.17%"
"2025- 07- 23","713.58","706.36","714.63","704.93","8.77M","1.24%"
"2025- 07- 22","704.81","716.19","716.60","701.41","8.92M","-1.14%"
"2025- 07- 21","712.97","706.80","717.00","705.76","9.40M","1.23%"
"2025- 07- 18","704.28","702.19","704.71","691.65","12.78M","0.41%"
"2025- 07- 17","701.41","704.39","705.90","697.10","11.80M","-0.21%"
"2025- 07- 16","702.91","713.37","713.97","699.27","13.07M","-1.05%"
"2025- 07- 15","710.39","723.90","724.47","709.82","11.53M","-1.46%"
"2025- 07- 14","720.92","717.60","728.00","716.55","8.94M","0.48%"
"2025- 07- 11","717.51","722.49","725.16","709.70","10.87M","-1.34%"
"2025- 07- 10","727.24","731.55","735.80","719.60","9.92M","-0.76%"
"2025- 07- 09","732.78","722.72","737.53","722.72","11.42M","1.68%"
"2025- 07- 08","720.67","721.57","722.91","714.81","7.77M","0.32%"
"2025- 07- 07","718.35","717.60","727.00","713.51","9.46M","-0.09%"
"2025- 07- 03","719.01","726.61","729.03","714.42","8.60M","0.76%"
"2025- 07- 02","713.57","715.33","720.30","712.80","9.34M","-0.79%"
"2025- 07- 01","719.22","736.88","737.75","715.37","13.43M","-2.56%"
"2025- 06- 30","738.09","744.55","747.90","734.25","15.40M","0.61%"
"2025- 06- 27","733.63","726.52","735.43","725.86","18.78M","1.04%"
"2025- 06- 26","726.09","714.35","728.22","711.05","13.96M","2.46%"
"2025- 06- 25","708.68","713.32","716.58","705.38","9.32M","-0.49%"
"2025- 06- 24","712.20","704.89","713.19","702.11","13.82M","1.96%"
"2025- 06- 23","698.53","683.69","699.05","678.75","11.08M","2.37%"
"2025- 06- 20","682.35","700.75","701.82","678.67","22.54M","-1.93%"
"2025- 06- 18","695.77","698.18","701.59","694.90","10.07M","-0.21%"
"2025- 06- 17","697.23","702.00","705.97","696.06","10.07M","-0.70%"
"2025- 06- 16","702.12","699.33","707.15","693.51","13.72M","2.82%"
"2025- 06- 13","682.87","687.95","694.57","681.01","9.27M","-1.51%"
"2025- 06- 12","693.36","693.30","695.38","687.00","7.32M","-0.11%"
"2025- 06- 11","694.14","703.71","708.87","691.99","9.58M","-1.18%"
"2025- 06- 10","702.40","701.34","703.23","691.56","10.85M","1.20%"
"2025- 06- 09","694.06","698.46","705.19","693.94","12.77M","-0.52%"
"2025- 06- 06","697.71","696.17","702.81","691.87","11.73M","1.91%"
"2025- 06- 05","684.62","691.66","694.38","682.25","13.12M","-0.48%"
"2025- 06- 04","687.95","669.32","689.00","668.57","14.03M","3.16%"
"2025- 06- 03","666.85","671.45","675.58","665.03","11.59M","-0.60%"
"2025- 06- 02","670.90","644.39","673.26","644.26","15.77M","3.62%"
"2025- 05- 30","647.49","642.50","649.41","632.78","16.24M","0.38%"
"2025- 05- 29","645.05","651.65","653.32","639.50","8.88M","0.23%"
"2025- 05- 28","643.58","642.60","650.88","642.55","9.04M","0.20%"
"2025- 05- 27","642.32","635.41","643.08","632.75","9.51M","2.43%"
"2025- 05- 23","627.06","624.00","632.45","622.65","8.45M","-1.49%"
"2025- 05- 22","636.57","634.05","643.25","630.71","8.23M","0.17%"
"2025- 05- 21","635.50","631.79","646.61","630.17","11.46M","-0.25%"
"2025- 05- 20","637.10","636.01","639.35","632.26","6.74M","-0.52%"
"2025- 05- 19","640.43","628.25","643.00","627.80","9.59M","0.01%"
"2025- 05- 16","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"2025- 05- 15","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"2025- 05- 14","659.36","661.21","662.67","654.31","12.35M","0.51%"
"2025- 05- 13","656.03","645.54","660.92","642.83","18.57M","2.60%"
"2025- 05- 12","639.43","630.92","640.39","621.03","21.97M","7.92%"
"2025- 05- 09","592.49","603.72","606.97","591.71","10.43M","-0.92%"
