"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 10- 23","213.65","217.13","218.72","212.11","80.94M","-1.98%"
"2024- 10- 22","217.97","217.31","218.22","215.26","43.27M","-0.40%"
"2024- 10- 21","218.85","218.90","220.48","215.73","47.33M","-0.84%"
"2024- 10- 18","220.70","220.71","222.28","219.23","49.61M","-0.09%"
"2024- 10- 17","220.89","221.59","222.08","217.90","50.79M","-0.20%"
"2024- 10- 16","221.33","221.40","222.82","218.93","49.63M","0.80%"
"2024- 10- 15","219.57","220.01","224.26","217.12","62.99M","0.19%"
"2024- 10- 14","219.16","220.13","221.91","213.74","86.29M","0.62%"
"2024- 10- 11","217.80","220.13","223.34","214.38","142.63M","-8.78%"
"2024- 10- 10","238.77","241.81","242.79","232.34","83.09M","-0.95%"
"2024- 10- 09","241.05","243.82","247.43","239.51","66.29M","-1.41%"
"2024- 10- 08","244.50","243.56","246.21","240.56","56.30M","1.52%"
"2024- 10- 07","240.83","249.00","249.83","240.70","68.11M","-3.70%"
"2024- 10- 04","250.08","246.69","250.96","244.58","86.73M","3.91%"
"2024- 10- 03","240.66","244.48","249.79","237.81","80.73M","-3.36%"
"2024- 10- 02","249.02","247.55","251.16","241.50","93.98M","-3.49%"
"2024- 10- 01","258.02","262.67","263.98","248.53","87.40M","-1.38%"
